citing_paper,author_id
 A Comparison of OFDM Techniques in Massive MIMO on Data Throughput and Spectral Efficiency in Digital Wireless Communication Systems,bHydhbIAAAAJ
 A Tale of Many Networks: Splitting and Merging of Chord-like Overlays in Partitioned Networks,_1NZanMAAAAJ
 An Idleness-and Failure-Tolerant Pipeline Broadcast Protocol for MPI,OpCupmoAAAAJ
 An efficient open-source design and implementation framework for non-quantized CNNs on FPGAs,Q43S-SkAAAAJ
 An efficient open-source design and implementation framework for non-quantized CNNs on FPGAs,e6vqx9gAAAAJ
 An efficient open-source design and implementation framework for non-quantized CNNs on FPGAs,jq4uw3QAAAAJ
 Analyzing the Impact of Kernel Fusion on GPU Tensor Operation Performance: A Systematic Performance Study,5i3nVk8AAAAJ
 Analyzing the Impact of Kernel Fusion on GPU Tensor Operation Performance: A Systematic Performance Study,_cjUcF0AAAAJ
 Beyond compensation: A holistic approach to employee retention in the era of remote work and technological change,4GAKY4sAAAAJ
 Deep Learning-Based 30-Day Mortality Prediction in Critically Ill Bone and Bone Marrow Metastasis Patients: A Multicenter Retrospective Cohort Study,LpKkl8gAAAAJ
 Deep Learning-Based 30-Day Mortality Prediction in Critically Ill Bone and Bone Marrow Metastasis Patients: A Multicenter Retrospective Cohort Study,M8HO_msAAAAJ
 Fundamental Blocks for Establishing Secure and Scalable Continual Learning within Contemporary AI Systems,UADa6E0AAAAJ
 GEMM-ArchProfiler: A simulation framework for hardware-level profiling and performance analysis of General Matrix Multiplication in real CNN workloads on …,1b3XxQ8AAAAJ
 Hierarchical Deep Learning Model for Identifying Similar Targets in UAV Imagery,oJB9PpYAAAAJ
 Hierarchical Deep Learning Model for Identifying Similar Targets in UAV Imagery,pl4wbzoAAAAJ
 Hierarchical Deep Learning Model for Identifying Similar Targets in UAV Imagery,qmxDbPoAAAAJ
 Improving K-Means Clustering: A Comparative Study of Parallelized Version of Modified K-Means Algorithm for Clustering of Satellite Images,DspQdUwAAAAJ
 Improving K-Means Clustering: A Comparative Study of Parallelized Version of Modified K-Means Algorithm for Clustering of Satellite Images,YBgl3ugAAAAJ
 New techniques for the Reliability Evaluation of AI-oriented Hardware Accelerators,fVZYxQEAAAAJ
