affiliation,latitude,longitude
Ant Group,49.2551481,-122.9960492
Argonne National Laboratory,41.709141,-87.9786195
Aristotle University of Thessaloniki,40.6296719,22.9591469
Asia University,35.7059995,139.5345041
Auckland University of Technology,-36.8529871,174.76642
Beijing University of Posts and Telecommunications,39.9642,116.351
Brookhaven National Laboratory,40.8699,-72.8773
"Brooklyn College, CUNY",40.6313,-73.9529
Carnegie Mellon University,40.4432,-79.9428
"Central Research Institute, 2012 Labs, Huawei Tech. Co. Ltd",22.546,113.942
China Construction Bank,51.5153765,-0.0848275
China University of Petroleum-Beijing,40.0009,116.326
Chinese Academy of Sciences,39.9093367,116.3297146
Clemson University,34.6686916,-82.8374348
Cochin University of Science & Technology,10.0452701,76.3261745
Colorado School of Mines,39.7386338,-105.2246389
Columbia University,40.8077507,-73.9624901
"Dawning Information Industry (Beijing) Co., Ltd",30.145883,9.6959801
ETH Zurich,47.413218,8.5374914
"European Council for Nuclear Research (CERN), Geneva, Switzerland",46.2344,6.0528
Ewha Womans University,37.5628,126.9469
"Bingen Technical University of Applied Sciences, 55411 Bingen, Germany",49.95,7.92
Fasa University,28.942323,53.6224968
Fasa University of Medical Sciences,28.56,53.38
Federal Polytechnic,55.7577773,37.6294848
Florida State University,30.442216,-84.297453
Georgetown University,38.9089393,-77.0745796
"Georgia Institute of Technology, Atlanta",33.7760948,-84.3988077
"Google, Mountain View",37.419001,-122.082376
"Griffith University, Brisbane, Australia",-27.5466249,153.0642922
"Hangzhou Institute for Advanced Study, University of Chinese Academy of Sciences",39.907697,116.2440577
"Heilongjiang University, Harbin, China",45.7683,126.5699
Hong Kong Metropolitan University,22.316392,114.1802004
"IFP Energies Nouvelles, Rueil-Malmaison, France",48.8789,2.1897
INCT-Petroleum Geophysics,-12.59,-38.29
Illumina,32.8704227,-117.1982623
Indiana University,39.1802358,-86.5093526
"Information Processing and Telecommunications Center (IPTC), Escuela Técnica Superior de Ingeniería de Telecomunicación, Universidad Politécnica de Madrid",40.5473558,-3.6918341
"Institute of Computing Technology, Chinese Academy of Sciences",34.6988529,135.1936779
"Institute of High Performance Computing, A*STAR, Singapore",1.2987334,103.7871933
Instituto de Computação - Universidade Estadual de Campinas,-22.81,-47.06
International Hellenic University,40.5368819,23.0088825
JPMorgan Chase,40.7545,-73.9769
"Jiangnan University, Wuxi, China",31.4851219,120.2673352
Jilin University,43.8206879,125.2711103
Jinan Inspur Data Technology Co Ltd,36.67,117.13
KTH Royal Institute of Technology,59.2016758,17.6203201
Khmelnytskyi National University,49.4,26.97
King Abdullah University of Science and Technology,22.3223754,39.1173835
King's College London,51.5030855,-0.0900021
Kings College London,51.5824264,-0.4197117
Korea University,36.6108894,127.2934174
Lawrence Berkeley National Laboratory,37.8769588,-122.2456303
Lawrence Livermore National Laboratory,37.687781,-121.7083093
Los Alamos National Lab,35.8816,-106.2951
Max Planck Computing and Data Facility,48.26,11.67
Meta Platforms Inc.,37.4851,-122.1483
"Metax Research Institute, Nanjing, China",32.0603,118.7969
"Microsoft Iberica, Madrid, Spain",40.4183279,-3.7980398
Mumbai University,16.9956538,73.3301397
NVIDIA Corporation,30.4801362,-97.7931805
Nanjing University,32.1132,118.9015
Nanjing University of Information Science and Technology,32.2059,118.7139
Nanyang Technological University,1.3484104,103.6829332
Nasarawa State University,8.8431624,7.9066259
National Center for Atmospheric Research,39.9809413,-105.2748622
National Renewable Energy Laboratory,39.7406,-105.1686
New Jersey Institute of Technology,40.7421254,-74.1790316
North Carolina State University at Raleigh,35.78,-78.66
