citing_paper,Author,Affiliation,,,
 A Comparison of OFDM Techniques in Massive MIMO on Data Throughput and Spectral Efficiency in Digital Wireless Communication Systems,Samson Dauda Yusuf,Nasarawa State University,,,
,Lukman Femi Egbebi,Federal Polytechnic,,,
,Sule Idris Isah,Nasarawa State University,,,
 A Tale of Many Networks: Splitting and Merging of Chord-like Overlays in Partitioned Networks,Tobias Amft,"Peopleware, Speditionstraﬂe 5, 40221 D¸sseldorf, Germany",,,
,Kalman Graffi,"Faculty of Computer Science, Bingen Technical University of Applied Sciences, 55411 Bingen, Germany",,,
 An Idleness-and Failure-Tolerant Pipeline Broadcast Protocol for MPI,Xiuyi Qin,SanJose,,,
 An efficient open-source design and implementation framework for non-quantized CNNs on FPGAs,Angelos Athanasiadis,Aristotle University of Thessaloniki,,,
,Nikolaos Tampouratzis,International Hellenic University,,,
,Ioannis Papaefstathiou,Aristotle University of Thessaloniki,,,
 Analyzing the Impact of Kernel Fusion on GPU Tensor Operation Performance: A Systematic Performance Study,Matija Dodovi?,University of Belgrade,,,
,Milica Veselinovi?,University of Belgrade,,,
,Marko Miöi?,University of Belgrade,,,
Beyond compensation: A holistic approach to employee retention in the era of remote work and technological change,Shilpa Shinde,Mumbai University,,,
Deep Learning-Based 30-Day Mortality Prediction in Critically Ill Bone and Bone Marrow Metastasis Patients: A Multicenter Retrospective Cohort Study,Yixi Wang,Xinjiang Medical University,,,
,Lintao Xia,Shanghai University of Traditional Chinese Medicine,,,
,Yuqiao Tang,"Northeastern University, Boston",,,
,Wenzhe Li,Xinjiang Medical University,,,
,Jian Cui,The First Affiliated Hospital of Xinjiang Medical University,,,
,Xinkai Luo,The First Affiliated Hospital of Xinjiang Medical University,,,
,Hongyuan Jiang,The First Affiliated Hospital of Xinjiang Medical University,,,
,Yuqian Li,The First Affiliated Hospital of Xinjiang Medical University,,,
Fundamental Blocks for Establishing Secure and Scalable Continual Learning within Contemporary AI Systems,Ghalib Ahmed Tahir,University Malaya,,,
GEMM-ArchProfiler: A simulation framework for hardware-level profiling and performance analysis of General Matrix Multiplication in real CNN workloads on heterogeneous CPU architectures,Binu Ayyappan,Rajagiri School of Engineering & Technology,,,
,G. Santhosh Kumar,Cochin University of Science & Technology,,,
Hierarchical Deep Learning Model for Identifying Similar Targets in UAV Imagery,Dmytro Borovyk,Khmelnytskyi National University,,,
,Oleksander Barmak,Taras Shevchenko National University of Kyiv,,,
,Pavlo Radiuk,V.M. Glushkov Institute of Cybernetics,,,
Improving K-Means Clustering: A Comparative Study of Parallelized Version of Modified K-Means Algorithm for Clustering of Satellite Images,Yuv Raj Pant,South Dakota State University,,,
,Larry Leigh,South Dakota State University,,,
,Juliana Fajardo Rueda,South Dakota State University,,,
New techniques for the Reliability Evaluation of AI-oriented Hardware Accelerators,Robert Alexander Limas Sierra,Politecnico di Torino,,,
"On Bayesian Methods for Black-Box Optimization: Efficiency, Adaptation and Reliability",Yunchuan Zhang,King's College London,,,
The prediction of the resistant starch production using transformer-based deep learning models,Maryam Mousavifard,Fasa University,,,
,Mehran Sayadi,Fasa University of Medical Sciences,,,
,Elahe Abedi,Fasa University,,,
,Seyed Mohammad Bagher Hashemi,Fasa University,,,
Verwendungsnachweis DaREXA-F Teil II,Diego JimenËz,Max Planck Computing and Data Facility,,,
,Tilman Dannert,Max Planck Computing and Data Facility,,,
,Erwin Laure,Max Planck Computing and Data Facility,,,
" What to Support when You're Compressing: The State of Practice, Gaps, and Opportunities for Scientific Data Compression",Franck Cappello,Argonne National Laboratory,,,
,Robert Underwood,University of Chicago,,,
,Yuri Alexeev,Argonne National Laboratory,,,
,Alison Baker,National Center for Atmospheric Research,,,
,Ebru Bozda?,Colorado School of Mines,,,
,Martin Burtscher,Texas State University,,,
,Kyle Chard,University of Chicago,,,
,Sheng Di,University of Chicago,,,
,Kyle Gerard Felker,Argonne National Laboratory,,,
,Paul Christopher OíGrady,SLAC National Accelerator Laboratory,,,
,Hanqi Guo,Ohio State University,,,
,Yafan Huang,University of Iowa,,,
,Peng Jiang,University of Iowa,,,
,Sian Jin,Temple University,,,
,Petter Johansson,KTH Royal Institute of Technology,,,
,Shaomeng Li,NVIDIA Corporation,,,
,Xin Liang,University of Kentucky,,,
,Erik Lindahl,Stockholm University,,,
,Peter Lindstrom,Lawrence Livermore National Laboratory,,,
,Zarija Luki?,Lawrence Livermore National Laboratory,,,
,Magnus Lundborg,KTH Royal Institute of Technology,,,
,Danylo Lykov,NVIDIA Corporation,,,
,Masaru Nagaso,RIKEN Center for Computational Science,,,
,Kento Sato,RIKEN Center for Computational Science,,,
,Amarjit Singh,RIKEN Center for Computational Science,,,
,Seung Woo Son,UMass Lowell,,,
,Shihui Song,University of Iowa,,,
,William Tang,Princeton Plasma Physics Laboratory,,,
,Dingwen Tao,Indiana University,,,
,Jiannan Tian,University of Kentucky,,,
,Kazutomo Yoshii,Argonne National Laboratory,,,
,Kai Zhao,Florida State University,,,
A Federated Learning-based Aflatoxin M1 Prediction Model Under a Data Enhancement Strategy,Long Wang,"Jiangnan University, Wuxi, China",,,
,Xiaodong Song,"State Administration for Market Regulation, Huhehaote",,,
,Haohan Ding,"Jiangnan University, Wuxi, China",,,
,Xiaohui Cui,"Wuhan University, Wuhan",,,
,David I. Wilson,Auckland University of Technology,,,
,Wei Yu,University of Auckland,,,
,Yinghao Yang,"Jiangnan University, Wuxi, China",,,
,Guanjun Dong,"State Administration for Market Regulation, Huhehaote",,,
A Memory-Efficient and Computation-Balanced Lossy Compressor on Wafer-Scale Engine,Shihui Song,University of Iowa,,,
,Robert Underwood,University of Chicago,,,
,Sheng Di,University of Chicago,,,
